movieId,release_year,avg_rating_movie,num_ratings_movie,rating_std_movie,rating_year_range,rating_trend,genre_combo,genre_count,release_decade,fuzzy_cluster,fuzzy_membership
3,1995,2.941273820134114,73,0.7939558837131915,13,-0.042646477417869574,"Comedy,Romance",2,1990,1,0.7437232902227023
4,1995,2.5555555555555554,8,0.9115440042794981,6,-0.029761904761904785,"Comedy,Drama,Romance",3,1990,1,0.7663909376410751
11,1995,3.445019157088123,108,0.6926478287455555,14,-0.025297619047619048,"Comedy,Drama,Romance",3,1990,0,0.7468043697114498
15,1995,2.7328703703703705,33,1.2337177756560536,11,0.04214272247360483,"Action,Adventure,Romance",3,1990,1,0.7522486321739441
16,1995,3.8885495321316936,192,0.8255605397051485,16,0.0025619796529723037,"Crime,Drama",2,1990,0,0.7116349445783159
17,1995,3.975429292175216,122,0.7585905777730676,15,-0.02148215674989973,"Drama,Romance",2,1990,0,0.8711530937228833
24,1995,2.8890720390720395,65,1.0046742500028227,14,-0.016479848669605737,"Drama,Sci-Fi",2,1990,1,0.8260637900783065
25,1995,3.6383342317190035,130,0.7610510414443479,15,-0.030376853140637053,"Drama,Romance",2,1990,0,0.8545772983801178
28,1995,3.8055555555555554,22,0.49406782151876466,14,-0.021428571428571432,"Drama,Romance",2,1990,0,0.8089089887814552
36,1995,3.7855906977588902,131,0.6534612688458076,14,-0.027785199606158252,"Crime,Drama",2,1990,0,0.8992568824362902
44,1995,2.7185286935286936,103,0.9844995707026242,13,-0.02071520580308913,"Action,Adventure,Fantasy",3,1990,1,0.8985941097891093
45,1995,3.388257575757576,42,0.9665172030555176,14,0.035136815920398023,"Comedy,Drama,Thriller",3,1990,1,0.7227726661257917
48,1995,2.9671358155733154,133,0.8837992419136446,16,0.033578431372549025,"Animation,Children,Drama,Romance",4,1990,1,0.7136739344565726
62,1995,3.606968031968032,112,0.8323498178023088,15,-0.01039490730240297,Drama,1,1990,0,0.7602865665486279
69,1995,3.538888888888889,51,0.7260798087957697,15,0.01143624252311039,Comedy,1,1990,0,0.8215484157638713
82,1995,3.183333333333333,16,1.013250047856187,11,0.06789723661485321,"Comedy,Drama",2,1990,1,0.7089884101022776
85,1995,3.65,12,0.382842712474619,13,-0.04336734693877551,"Drama,Romance",2,1990,0,0.7301306011739878
86,1996,3.4479166666666665,19,0.5653866750443829,16,0.025401606425702817,"Action,Adventure,Drama",3,1990,0,0.716605405869671
94,1996,3.62,27,0.5809395184685321,15,0.0635049161364951,"Comedy,Drama,Romance",3,1990,0,0.7049104351992909
97,1995,3.987916666666667,41,0.7057210295725043,11,-0.07758165225744475,"Crime,Drama",2,1990,0,0.738093801151623
100,1996,3.239583333333333,20,0.9683345664841464,8,-0.0183933933933934,"Drama,Thriller",2,1990,1,0.7748795272455807
125,1996,3.6541666666666663,27,0.8530149090335766,14,-0.006723845828038965,Comedy,1,1990,0,0.7236988510423228
